Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.70,2583,0.00,0.00,14.29,34.00,84,20,-3.34,2.30,1.18,14.12,15.20
48,0.70,2660,0.00,0.00,14.30,34.00,84,20,-3.48,2.30,1.18,14.12,15.20
101,0.69,2676,0.00,0.00,14.33,34.00,84,20,-3.48,2.32,1.18,14.12,15.20
153,0.70,2676,0.00,0.00,14.32,34.00,84,20,-3.48,2.30,1.18,14.12,15.10
206,0.70,2691,0.00,0.00,14.32,34.00,84,20,-3.48,2.30,1.18,14.12,15.10
259,0.70,2712,0.00,0.00,14.32,34.00,84,20,-3.63,2.32,1.18,14.12,15.10
311,0.69,2786,0.00,0.00,14.32,34.00,84,19,-3.63,2.32,1.18,14.12,14.50
364,0.69,2845,0.00,0.00,14.32,34.00,84,19,-3.63,2.34,1.18,14.12,14.50
417,0.69,2845,0.00,0.00,14.30,34.00,84,19,-3.63,2.34,1.18,14.12,14.50
469,0.69,2889,0.00,0.00,14.30,34.00,84,19,-3.77,2.34,1.18,14.12,14.20
522,0.69,2899,0.00,0.00,14.32,34.00,84,20,-3.63,2.34,1.18,14.12,14.20
574,0.69,2942,0.00,0.00,14.31,34.00,84,19,-3.63,2.34,1.18,14.12,14.20
627,0.68,3000,0.00,0.00,14.32,34.00,84,20,-3.77,2.36,1.18,14.12,13.90
679,0.67,3000,0.00,0.00,14.32,34.50,84,20,-3.92,2.28,1.18,10.59,13.90
732,0.59,3050,0.00,0.00,15.74,34.50,84,20,-3.92,2.28,0.00,0.00,13.90
785,0.41,3040,0.00,0.00,17.39,36.00,84,19,-6.09,1.86,0.00,0.00,13.80
837,0.34,2980,0.00,0.00,16.10,39.00,84,18,-7.25,1.74,0.00,0.00,13.80
890,0.30,2993,0.00,0.00,15.29,37.50,84,14,-7.98,1.68,0.00,0.00,13.80
942,0.28,2993,0.00,0.00,14.70,31.00,84,8,-8.42,1.76,0.00,0.00,12.80
994,0.27,2976,0.00,0.00,14.70,31.00,84,8,-8.42,1.76,0.00,0.00,12.80
1047,0.26,2934,0.00,0.00,14.70,28.50,84,5,-8.71,1.80,0.00,0.00,12.80
1099,0.25,2820,0.00,0.00,14.70,25.50,82,2,-8.85,1.86,0.00,0.00,11.00
1152,0.25,2733,0.00,0.00,14.70,22.50,82,1,-9.00,1.76,0.00,0.00,11.00
1204,0.24,2733,0.00,0.00,14.70,19.50,82,1,-9.29,1.64,0.00,0.00,11.00
1257,0.24,2672,0.00,0.00,14.70,19.50,82,1,-9.29,1.64,0.00,0.00,11.90
1310,0.24,2576,0.00,0.00,15.41,16.50,82,0,-9.43,1.48,0.00,0.00,11.90
1362,0.24,2482,0.00,0.00,15.45,28.00,82,1,-9.43,1.60,0.00,0.00,11.90
1415,0.25,2384,0.00,0.00,15.25,28.00,82,1,-9.43,1.80,0.00,0.78,17.40
1468,0.25,2384,0.00,0.00,15.29,29.50,82,1,-9.29,1.90,0.00,7.45,17.40
1521,0.33,2306,0.00,0.00,12.20,33.00,82,1,-9.29,2.10,0.00,10.98,17.40
1573,0.42,2186,0.00,0.00,11.38,33.00,82,1,-6.96,2.10,0.00,12.55,18.50
1625,0.54,2093,0.00,0.00,12.06,34.00,82,1,-5.22,2.22,0.39,13.33,18.50
1678,0.63,1968,0.00,0.00,13.08,34.00,82,2,-3.63,2.22,0.39,13.73,18.50
1729,0.71,1968,0.00,0.00,13.41,32.00,82,4,-2.61,2.20,0.78,13.73,18.50
1782,0.76,1812,0.00,0.00,13.69,32.00,82,4,-2.61,2.20,0.78,13.73,18.50
1834,0.78,1749,0.00,0.00,14.03,30.50,82,7,-2.03,2.16,1.18,13.73,18.50
1887,0.78,1764,0.00,0.00,14.64,30.00,82,9,-1.89,2.14,1.18,13.73,18.50
1939,0.78,1780,0.00,0.00,14.64,30.50,82,14,-1.89,2.14,1.18,14.12,18.50
1992,0.78,1780,0.00,0.00,14.64,30.50,82,17,-1.89,2.16,1.18,14.12,18.50
2044,0.78,1783,0.00,0.00,14.64,30.50,82,17,-1.89,2.16,1.18,14.12,18.50
2096,0.78,1793,0.00,0.00,14.64,30.50,82,18,-1.89,2.16,1.18,14.12,18.50
2150,0.78,1823,0.00,0.00,14.65,30.50,82,18,-1.89,2.16,1.18,14.12,18.50
2202,0.78,1836,0.00,0.00,14.65,30.50,82,18,-1.89,2.16,1.18,14.12,15.90
2254,0.78,1836,0.00,0.00,14.65,30.50,82,17,-1.89,2.16,1.18,14.12,15.90
2307,0.78,1842,0.00,0.00,14.66,30.50,82,17,-1.89,2.16,1.18,14.12,15.90
2358,0.77,1868,0.00,0.00,14.66,30.50,82,17,-1.89,2.16,1.18,14.12,15.30
2411,0.77,1896,0.00,0.00,14.66,31.00,82,17,-1.89,2.16,1.18,14.12,15.30
2464,0.77,1908,0.00,0.00,14.66,31.50,82,17,-1.89,2.18,1.18,14.12,15.30
2516,0.77,1908,0.00,0.00,14.66,31.50,82,18,-2.03,2.18,1.18,14.12,15.10
2569,0.76,1923,0.00,0.00,14.67,32.00,82,18,-2.03,2.18,1.18,14.12,15.10
2622,0.76,1952,0.00,0.00,14.67,32.00,82,18,-2.03,2.18,1.18,14.12,15.10
2674,0.75,1972,0.00,0.00,14.68,32.00,82,18,-2.03,2.18,1.18,13.73,14.80
2727,0.75,1956,0.00,0.00,14.68,32.00,82,18,-2.18,2.16,1.18,12.55,14.80
2779,0.72,1956,0.00,0.00,14.99,32.50,82,18,-2.32,2.14,0.39,12.55,14.80
2831,0.70,1989,0.00,0.00,14.96,33.00,82,18,-2.32,2.14,0.00,12.55,14.10
2884,0.70,2013,0.00,0.00,14.70,33.00,82,17,-2.61,2.14,0.00,11.76,14.10
2936,0.69,2020,0.00,0.00,14.70,33.00,82,16,-2.76,2.14,0.00,10.20,13.80
2989,0.66,2034,0.00,0.00,15.14,33.50,82,15,-3.19,2.06,0.00,9.80,13.80
3042,0.63,2034,0.00,0.00,15.16,34.00,82,14,-3.77,2.06,0.00,9.80,13.80
3094,0.61,2054,0.00,0.00,15.05,35.00,82,14,-3.77,2.06,0.00,9.80,13.60
